path,k,#suppressed,avg class size,min class size,max class size,#eqs,total gen level,precision,granularity/loss,non-uniform entropy,squared error,discernibility,ambiguity,record-level squared error,gender gen level,age gen level,smoking_status gen level,ZIP gen level
../output/patients/arx_stats/Anonymized/0/0_2_1_4.csv,5.0,25.0,79.0416666667,5.0,202.0,336.0,7.0,0.6567251627,0.9062260867,0.3760140744,0.9876927282,0.9949970415,0.9974942425,0.864386509,0.0,2.0,1.0,4.0
../output/patients/arx_stats/Anonymized/0/0_3_2_4.csv,5.0,5.0,265.78,14.0,606.0,100.0,9.0,0.3999247639,0.7104795694,0.2893741647,0.9884153743,0.9862342095,0.9928057583,0.5464085335,0.0,3.0,2.0,4.0
../output/patients/arx_stats/Anonymized/0/1_4_0_0.csv,5.0,26333.0,5.4347826087,5.0,9.0,46.0,5.0,0.0051724787,0.0064142426,0.00598973,0.0108632195,0.0094028906,0.009404417,0.003734227,1.0,4.0,0.0,0.0
../output/patients/arx_stats/Anonymized/0/0_3_2_3.csv,5.0,412.0,33.9883116883,5.0,152.0,770.0,8.0,0.4430256179,0.72692643,0.4238171886,0.9841780585,0.9827495157,0.9836567678,0.5397636594,0.0,3.0,2.0,3.0
../output/patients/arx_stats/Anonymized/0/0_2_1_3.csv,5.0,2392.0,12.1746351283,5.0,47.0,1987.0,6.0,0.6463623368,0.8527619245,0.4699389739,0.9106250901,0.909502531,0.9098406533,0.8068665414,0.0,2.0,1.0,3.0
../output/patients/arx_stats/Anonymized/0/1_2_1_4.csv,5.0,9.0,156.3176470588,12.0,364.0,170.0,8.0,0.4072123161,0.7062412829,0.3315861503,0.9882618743,0.9919675002,0.9949628968,0.3986659549,1.0,2.0,1.0,4.0
../output/patients/arx_stats/Anonymized/0/0_4_0_0.csv,5.0,26551.0,5.3333333333,5.0,6.0,6.0,4.0,0.0009630215,0.0010625081,0.0008066243,0.0012541595,0.0012035791,0.0012037731,0.0010638884,0.0,4.0,0.0,0.0
../output/patients/arx_stats/Anonymized/0/1_3_2_4.csv,5.0,0.0,531.66,32.0,1047.0,50.0,10.0,0.15,0.5100063795,0.2446975679,0.9885753234,0.9739284579,0.9789769693,0.2540234244,1.0,3.0,2.0,4.0
../output/patients/arx_stats/Anonymized/0/1_3_2_3.csv,5.0,101.0,60.5995423341,5.0,234.0,437.0,9.0,0.1992401159,0.5357349452,0.3842465748,0.9961323042,0.9928453978,0.9936458905,0.2544518459,1.0,3.0,2.0,3.0
../output/patients/arx_stats/Anonymized/0/1_2_1_3.csv,5.0,742.0,20.1253894081,5.0,78.0,1284.0,7.0,0.4455573111,0.7145013249,0.4596869141,0.9714860456,0.9711033379,0.9715268161,0.3897291482,1.0,2.0,1.0,3.0
../output/patients/arx_stats/Anonymized/0/0_5_1_1.csv,5.0,18984.0,7.0426320667,5.0,30.0,1079.0,7.0,0.1939604258,0.1957391415,0.1670466907,0.2983317368,0.2857823226,0.285841342,0.1584191265,0.0,5.0,1.0,1.0
../output/patients/arx_stats/Anonymized/0/1_3_0_5.csv,5.0,0.0,1772.2,45.0,5213.0,15.0,9.0,0.35,0.4413335402,0.1529660621,3.03809e-05,0.8719662132,0.9333334081,0.2402528478,1.0,3.0,0.0,5.0
../output/patients/arx_stats/Anonymized/0/0_1_1_1.csv,5.0,26562.0,5.25,5.0,6.0,4.0,3.0,0.0007109807,0.0007803371,0.0005315548,0.0008201411,0.0007898514,0.0007899759,0.0008219685,0.0,1.0,1.0,1.0
../output/patients/arx_stats/Anonymized/0/0_4_2_1.csv,5.0,19845.0,6.6515301086,5.0,23.0,1013.0,7.0,0.1267351315,0.172844419,0.1501108815,0.2654406075,0.2534086935,0.2534535592,0.1340397276,0.0,4.0,2.0,1.0
../output/patients/arx_stats/Anonymized/0/1_3_0_2.csv,5.0,10446.0,8.9253318584,5.0,49.0,1808.0,6.0,0.3035210473,0.450164487,0.3371408028,0.6139154804,0.6067908996,0.6069517238,0.2531988386,1.0,3.0,0.0,2.0
../output/patients/arx_stats/Anonymized/0/1_5_1_1.csv,5.0,12602.0,8.1237652528,5.0,47.0,1721.0,8.0,0.221225031,0.2513042605,0.2978705668,0.542538329,0.5257547082,0.5258444959,0.1248820254,1.0,5.0,1.0,1.0
../output/patients/arx_stats/Anonymized/0/1_0_2_1.csv,5.0,26573.0,5.0,5.0,5.0,2.0,4.0,0.0001692811,0.0002251909,0.0002505902,0.0003829009,0.0003761238,0.000376178,0.0001144698,1.0,0.0,2.0,1.0
../output/patients/arx_stats/Anonymized/0/1_4_2_1.csv,5.0,13435.0,7.7069167644,5.0,37.0,1706.0,8.0,0.1236504533,0.238064599,0.2830186223,0.5115816714,0.4944459631,0.4945170381,0.1125671192,1.0,4.0,2.0,1.0
../output/patients/arx_stats/Anonymized/0/1_1_1_1.csv,5.0,26439.0,5.3333333333,5.0,7.0,27.0,4.0,0.003497536,0.0042453531,0.0035097558,0.0058538601,0.0054161031,0.0054169389,0.0024966692,1.0,1.0,1.0,1.0
../output/patients/arx_stats/Anonymized/0/0_3_0_5.csv,5.0,5.0,885.9333333333,20.0,2983.0,30.0,8.0,0.5998871459,0.6418189523,0.1976473887,3.04007e-05,0.9318846721,0.9775939457,0.5249774114,0.0,3.0,0.0,5.0
../output/patients/arx_stats/Anonymized/0/0_3_0_2.csv,5.0,16493.0,7.4851632047,5.0,39.0,1348.0,5.0,0.284674416,0.3575876459,0.2198193389,0.3892070274,0.3794508301,0.3795448235,0.3470174282,0.0,3.0,0.0,2.0
../output/patients/arx_stats/Anonymized/0/1_4_1_0.csv,5.0,26322.0,5.4375,5.0,9.0,48.0,6.0,0.0052966181,0.0066134588,0.0062449191,0.0113334016,0.0098166182,0.0098182034,0.0038619997,1.0,4.0,1.0,0.0
../output/patients/arx_stats/Anonymized/0/1_5_2_0.csv,5.0,21726.0,5.9449204406,5.0,17.0,817.0,8.0,0.0456776887,0.0549753916,0.1116466923,0.1949683873,0.1826742009,0.1826976051,0.0226809907,1.0,5.0,2.0,0.0
../output/patients/arx_stats/Anonymized/0/0_2_0_4.csv,5.0,99.0,56.8326180258,5.0,202.0,466.0,6.0,0.6973930708,0.9377887414,0.3905741226,0.9848358269,0.9926538292,0.9951117307,0.9219007602,0.0,2.0,0.0,4.0
../output/patients/arx_stats/Anonymized/0/0_2_0_3.csv,5.0,4605.0,11.3816675298,5.0,47.0,1931.0,5.0,0.6200767408,0.801063775,0.4365095443,0.8294266691,0.8263160092,0.8266459928,0.7883118355,0.0,2.0,0.0,3.0
../output/patients/arx_stats/Anonymized/0/0_4_1_0.csv,5.0,26546.0,5.2857142857,5.0,6.0,7.0,5.0,0.0010664711,0.001190793,0.0009207249,0.0014688679,0.001391641,0.0013918614,0.001190736,0.0,4.0,1.0,0.0
../output/patients/arx_stats/Anonymized/0/1_2_0_4.csv,5.0,27.0,108.8360655738,5.0,364.0,244.0,7.0,0.449542941,0.7399516262,0.3468949814,0.987492548,0.9921531988,0.9954841547,0.4165274458,1.0,2.0,0.0,4.0
../output/patients/arx_stats/Anonymized/0/0_5_2_0.csv,5.0,25211.0,5.5772357724,5.0,10.0,246.0,7.0,0.0258059662,0.0258830593,0.0321210936,0.0573612565,0.0516027073,0.051610697,0.0211264366,0.0,5.0,2.0,0.0
../output/patients/arx_stats/Anonymized/0/1_2_0_3.csv,5.0,1635.0,16.6876254181,5.0,78.0,1495.0,6.0,0.4692472633,0.721142404,0.4569168921,0.9392273411,0.9376240962,0.9380860021,0.3937757256,1.0,2.0,0.0,3.0
../output/patients/arx_stats/Anonymized/0/1_3_1_5.csv,5.0,0.0,2658.3,255.0,5213.0,10.0,10.0,0.3073223489,0.4070879423,0.1374834871,3.0378e-05,0.8558560527,0.9105719923,0.2269148977,1.0,3.0,1.0,5.0
../output/patients/arx_stats/Anonymized/0/0_1_0_1.csv,5.0,26562.0,5.25,5.0,6.0,4.0,2.0,0.0007109807,0.0007803371,0.0005315548,0.0008201411,0.0007898514,0.0007899759,0.0008219685,0.0,1.0,0.0,1.0
../output/patients/arx_stats/Anonymized/0/0_5_0_1.csv,5.0,19852.0,7.0927291886,5.0,30.0,949.0,6.0,0.1772448557,0.1777460501,0.1470588909,0.263446771,0.2531375952,0.253193666,0.1447818613,0.0,5.0,0.0,1.0
../output/patients/arx_stats/Anonymized/0/1_2_2_5.csv,5.0,0.0,2953.6666666667,525.0,4068.0,9.0,10.0,0.15,0.2708183088,0.1398709628,3.18242e-05,0.876758603,0.9000000721,0.1244933959,1.0,2.0,2.0,5.0
../output/patients/arx_stats/Anonymized/0/1_2_2_2.csv,5.0,9317.0,8.4803536346,5.0,47.0,2036.0,7.0,0.194853854,0.3708996642,0.3603626478,0.6569444614,0.6492712058,0.649365107,0.1683682242,1.0,2.0,2.0,2.0
../output/patients/arx_stats/Anonymized/0/1_3_1_2.csv,5.0,8215.0,9.0661401777,5.0,49.0,2026.0,7.0,0.3214225257,0.4931031734,0.3807041402,0.6981935116,0.690679371,0.6908371554,0.2747092017,1.0,3.0,1.0,2.0
../output/patients/arx_stats/Anonymized/0/1_1_0_1.csv,5.0,26444.0,5.3461538462,5.0,7.0,26.0,3.0,0.0033987887,0.0041161453,0.0033746264,0.0056562404,0.0052280412,0.0052288515,0.002425711,1.0,1.0,0.0,1.0
../output/patients/arx_stats/Anonymized/0/0_3_1_5.csv,5.0,5.0,1328.9,52.0,2983.0,20.0,9.0,0.5572283038,0.6075884472,0.1821703851,3.03977e-05,0.9237007237,0.9700101509,0.5050519969,0.0,3.0,1.0,5.0
../output/patients/arx_stats/Anonymized/0/0_2_2_5.csv,5.0,5.0,1476.5555555556,206.0,2399.0,18.0,9.0,0.3999247639,0.4713357931,0.1845593283,3.18436e-05,0.9355573542,0.9664849236,0.3581212887,0.0,2.0,2.0,5.0
